date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:29:01	24918/24918	---M--	200	added ('OK')	image/png	date:Sun,%2007%20Oct%202018%2021:34:44%20GMT	http://jorgesanchez.net/manuales/html/css-bases-html-2016-web-resources/image/1.png	D:/MIS%20WEBS%20DESCARGADAS/html/jorgesanchez.net/manuales/html/css-bases-html-2016-web-resources/image/1.png	(from http://jorgesanchez.net/manuales/html/introduccion-a-css.html)
23:29:02	111223/111223	---M--	200	added ('OK')	image/png	date:Sun,%2007%20Oct%202018%2021:34:54%20GMT	http://jorgesanchez.net/manuales/html/enlaces-html-2016-web-resources/image/1.png	D:/MIS%20WEBS%20DESCARGADAS/html/jorgesanchez.net/manuales/html/enlaces-html-2016-web-resources/image/1.png	(from http://jorgesanchez.net/manuales/html/enlaces-html5.html)
23:29:04	313797/313797	---M--	200	added ('OK')	image/png	date:Sun,%2007%20Oct%202018%2021:35:01%20GMT	http://jorgesanchez.net/manuales/html/texto-y-parrafo-html-2016-web-resources/image/2.png	D:/MIS%20WEBS%20DESCARGADAS/html/jorgesanchez.net/manuales/html/texto-y-parrafo-html-2016-web-resources/image/2.png	(from http://jorgesanchez.net/manuales/html/texto-y-parrafo-html5.html)
23:29:05	13677/13677	---M--	200	added ('OK')	image/png	date:Sun,%2007%20Oct%202018%2021:34:50%20GMT	http://jorgesanchez.net/manuales/html/css-unidades-colores-html-2016-web-resources/image/2.png	D:/MIS%20WEBS%20DESCARGADAS/html/jorgesanchez.net/manuales/html/css-unidades-colores-html-2016-web-resources/image/2.png	(from http://jorgesanchez.net/manuales/html/unidades-colores-css.html)
23:29:05	23817/23817	---M--	200	added ('OK')	image/png	date:Sun,%2007%20Oct%202018%2021:34:50%20GMT	http://jorgesanchez.net/manuales/html/css-unidades-colores-html-2016-web-resources/image/1.png	D:/MIS%20WEBS%20DESCARGADAS/html/jorgesanchez.net/manuales/html/css-unidades-colores-html-2016-web-resources/image/1.png	(from http://jorgesanchez.net/manuales/html/unidades-colores-css.html)
23:29:06	7303/7303	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2021%20Oct%202018%2021:29:06%20GMT	http://jorgesanchez.net/manuales/html/css-unidades-colores-html-2016.html	D:/MIS%20WEBS%20DESCARGADAS/html/jorgesanchez.net/manuales/html/css-unidades-colores-html-2016.4d.delayed	(from http://jorgesanchez.net/manuales/html/unidades-colores-css.html)
23:29:07	56181/56181	---M--	200	added ('OK')	image/png	date:Sun,%2007%20Oct%202018%2021:34:50%20GMT	http://jorgesanchez.net/manuales/html/css-selectores-html-2016-web-resources/image/1.png	D:/MIS%20WEBS%20DESCARGADAS/html/jorgesanchez.net/manuales/html/css-selectores-html-2016-web-resources/image/1.png	(from http://jorgesanchez.net/manuales/html/selectores-css.html)
23:29:12	53058/53058	---M--	200	added ('OK')	image/png	date:Sun,%2007%20Oct%202018%2021:34:51%20GMT	http://jorgesanchez.net/manuales/html/css-unidades-colores-html-2016-web-resources/image/3.png	D:/MIS%20WEBS%20DESCARGADAS/html/jorgesanchez.net/manuales/html/css-unidades-colores-html-2016-web-resources/image/3.png	(from http://jorgesanchez.net/manuales/html/unidades-colores-css.html)
23:29:14	53720/53720	---M--	200	added ('OK')	image/png	date:Sun,%2007%20Oct%202018%2021:34:51%20GMT	http://jorgesanchez.net/manuales/html/css-unidades-colores-html-2016-web-resources/image/4.png	D:/MIS%20WEBS%20DESCARGADAS/html/jorgesanchez.net/manuales/html/css-unidades-colores-html-2016-web-resources/image/4.png	(from http://jorgesanchez.net/manuales/html/unidades-colores-css.html)
23:29:18	75273/75273	---M--	200	added ('OK')	image/png	date:Sun,%2007%20Oct%202018%2021:34:47%20GMT	http://jorgesanchez.net/manuales/html/css-formato-fuente-html-2016-web-resources/image/tipografia.png	D:/MIS%20WEBS%20DESCARGADAS/html/jorgesanchez.net/manuales/html/css-formato-fuente-html-2016-web-resources/image/tipografia.png	(from http://jorgesanchez.net/manuales/html/formato-fuente-parrafo.html)
23:29:20	74408/74408	---M--	200	added ('OK')	image/png	date:Sun,%2007%20Oct%202018%2021:34:47%20GMT	http://jorgesanchez.net/manuales/html/css-formato-fuente-html-2016-web-resources/image/1.png	D:/MIS%20WEBS%20DESCARGADAS/html/jorgesanchez.net/manuales/html/css-formato-fuente-html-2016-web-resources/image/1.png	(from http://jorgesanchez.net/manuales/html/formato-fuente-parrafo.html)
23:29:28	85813/85813	---M--	200	added ('OK')	image/png	date:Sun,%2007%20Oct%202018%2021:34:47%20GMT	http://jorgesanchez.net/manuales/html/css-formato-fuente-html-2016-web-resources/image/4.png	D:/MIS%20WEBS%20DESCARGADAS/html/jorgesanchez.net/manuales/html/css-formato-fuente-html-2016-web-resources/image/4.png	(from http://jorgesanchez.net/manuales/html/formato-fuente-parrafo.html)
23:29:28	62049/62049	---M--	200	added ('OK')	image/png	date:Sun,%2007%20Oct%202018%2021:34:47%20GMT	http://jorgesanchez.net/manuales/html/css-formato-fuente-html-2016-web-resources/image/5.png	D:/MIS%20WEBS%20DESCARGADAS/html/jorgesanchez.net/manuales/html/css-formato-fuente-html-2016-web-resources/image/5.png	(from http://jorgesanchez.net/manuales/html/formato-fuente-parrafo.html)
23:29:30	9660/9660	---M--	200	added ('OK')	image/png	date:Sun,%2007%20Oct%202018%2021:34:47%20GMT	http://jorgesanchez.net/manuales/html/css-formato-fuente-html-2016-web-resources/image/8.png	D:/MIS%20WEBS%20DESCARGADAS/html/jorgesanchez.net/manuales/html/css-formato-fuente-html-2016-web-resources/image/8.png	(from http://jorgesanchez.net/manuales/html/formato-fuente-parrafo.html)
23:29:33	16453/16453	---M--	200	added ('OK')	image/png	date:Sun,%2007%20Oct%202018%2021:34:47%20GMT	http://jorgesanchez.net/manuales/html/css-formato-fuente-html-2016-web-resources/image/9.png	D:/MIS%20WEBS%20DESCARGADAS/html/jorgesanchez.net/manuales/html/css-formato-fuente-html-2016-web-resources/image/9.png	(from http://jorgesanchez.net/manuales/html/formato-fuente-parrafo.html)
23:29:36	104984/104984	---M--	200	added ('OK')	image/png	date:Sun,%2007%20Oct%202018%2021:34:47%20GMT	http://jorgesanchez.net/manuales/html/css-formato-fuente-html-2016-web-resources/image/6.png	D:/MIS%20WEBS%20DESCARGADAS/html/jorgesanchez.net/manuales/html/css-formato-fuente-html-2016-web-resources/image/6.png	(from http://jorgesanchez.net/manuales/html/formato-fuente-parrafo.html)
23:29:40	37579/37579	---M--	200	added ('OK')	image/png	date:Sun,%2007%20Oct%202018%2021:34:47%20GMT	http://jorgesanchez.net/manuales/html/css-formato-fuente-html-2016-web-resources/image/10.png	D:/MIS%20WEBS%20DESCARGADAS/html/jorgesanchez.net/manuales/html/css-formato-fuente-html-2016-web-resources/image/10.png	(from http://jorgesanchez.net/manuales/html/formato-fuente-parrafo.html)
23:29:42	32770/32770	---M--	200	added ('OK')	image/png	date:Sun,%2007%20Oct%202018%2021:34:47%20GMT	http://jorgesanchez.net/manuales/html/css-formato-fuente-html-2016-web-resources/image/11.png	D:/MIS%20WEBS%20DESCARGADAS/html/jorgesanchez.net/manuales/html/css-formato-fuente-html-2016-web-resources/image/11.png	(from http://jorgesanchez.net/manuales/html/formato-fuente-parrafo.html)
23:29:42	187650/187650	---M--	200	added ('OK')	image/png	date:Sun,%2007%20Oct%202018%2021:34:47%20GMT	http://jorgesanchez.net/manuales/html/css-formato-fuente-html-2016-web-resources/image/3.png	D:/MIS%20WEBS%20DESCARGADAS/html/jorgesanchez.net/manuales/html/css-formato-fuente-html-2016-web-resources/image/3.png	(from http://jorgesanchez.net/manuales/html/formato-fuente-parrafo.html)
23:29:52	56725/56725	---M--	200	added ('OK')	image/png	date:Sun,%2007%20Oct%202018%2021:34:45%20GMT	http://jorgesanchez.net/manuales/html/css-formato-caja-lista-html-2016-web-resources/image/1.png	D:/MIS%20WEBS%20DESCARGADAS/html/jorgesanchez.net/manuales/html/css-formato-caja-lista-html-2016-web-resources/image/1.png	(from http://jorgesanchez.net/manuales/html/formato-caja-lista-css.html)
23:29:52	7303/7303	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2021%20Oct%202018%2021:29:53%20GMT	http://jorgesanchez.net/manuales/html/css-formato-caja-lista-html-2016.html	D:/MIS%20WEBS%20DESCARGADAS/html/jorgesanchez.net/manuales/html/css-formato-caja-lista-html-2016.5c.delayed	(from http://jorgesanchez.net/manuales/html/formato-caja-lista-css.html)
23:29:54	9338/9338	---M--	200	added ('OK')	image/png	date:Sun,%2007%20Oct%202018%2021:34:45%20GMT	http://jorgesanchez.net/manuales/html/css-formato-caja-lista-html-2016-web-resources/image/Imagen41040.png	D:/MIS%20WEBS%20DESCARGADAS/html/jorgesanchez.net/manuales/html/css-formato-caja-lista-html-2016-web-resources/image/Imagen41040.png	(from http://jorgesanchez.net/manuales/html/formato-caja-lista-css.html)
